source,job_title,company,location,url,collected_at,city_normalized,title_normalized
Google Jobs (SerpAPI),Data Scientist / ML & AI Engineer,Appdome,"Tel Aviv-Yafo, Israel",https://il.linkedin.com/jobs/view/data-scientist-ml-ai-engineer-at-appdome-4266313539,2025-08-11,Tel Aviv-Yafo,AI Engineer
Google Jobs (SerpAPI),Data Scientist Engineer,Fetcherr,"Netanya, Israel",https://il.linkedin.com/jobs/view/data-scientist-engineer-at-fetcherr-4280419298,2025-08-11,Netanya,Data Scientist
Google Jobs (SerpAPI),Data & AI Engineer,Cyesec,"Herzliya, Israel",https://il.linkedin.com/jobs/view/data-ai-engineer-at-cye-4259600427,2025-08-11,Herzliya,AI Engineer
Google Jobs (SerpAPI),AI Engineer,Papaya Global,"Herzliya, Israel",https://il.linkedin.com/jobs/view/ai-engineer-at-papaya-global-4250011450,2025-08-11,Herzliya,AI Engineer
Google Jobs (SerpAPI),Senior Data Scientist - Machine Learning (Cortex),Palo Alto Networks,"Tel Aviv-Yafo, Israel",https://il.linkedin.com/jobs/view/senior-data-scientist-machine-learning-cortex-at-palo-alto-networks-4280960428,2025-08-11,Tel Aviv-Yafo,Data Scientist
Google Jobs (SerpAPI),"Tel Aviv-Yafo, Tel Aviv District, Israel AI Engineer",Guardz,"Tel Aviv-Yafo, Israel",https://il.indeed.com/viewjob,2025-08-11,Tel Aviv-Yafo,AI Engineer
Google Jobs (SerpAPI),Machine Learning Engineer II - Content Intelligence Team,Booking.com,"Tel Aviv-Yafo, Israel",https://jobs.booking.com/booking/jobs/16482,2025-08-11,Tel Aviv-Yafo,Machine Learning Engineer
Google Jobs (SerpAPI),"AIML - Sr. Machine Learning Engineer, Siri Search Quality - Siri & Information Intelligence",Apple Inc.,"Herzliya, Israel",https://www.karkidi.com/job-details/86759-aiml-sr-machine-learning-engineer-siri-search-quality-siri-information-intelligence-job,2025-08-11,Herzliya,Machine Learning Engineer
Google Jobs (SerpAPI),"Data Engineer, Product Analytics",Meta,"Tel Aviv-Yafo, Israel",https://il.linkedin.com/jobs/view/data-engineer-product-analytics-at-meta-4256214445,2025-08-11,Tel Aviv-Yafo,Data Analyst
Google Jobs (SerpAPI),Data Scientist / ML Engineer,QuantHealth,"Tel Aviv-Yafo, Israel",https://www.recruit.net/job/data-scientist-ml-engineer-jobs/23948681BE7D21FA,2025-08-11,Tel Aviv-Yafo,Data Scientist
LinkedIn (Playwright),Data Scientist Engineer,Fetcherr,"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4282966098/,2025-08-11,Tel Aviv-Yafo,Data Scientist
LinkedIn (Playwright),Junior Data Analyst,Thing or Two,"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4271822346/,2025-08-11,Tel Aviv-Yafo,Data Analyst
LinkedIn (Playwright),Artificial Intelligence Engineer - Relocation to UAE,LevelUP HCS,"EMEA, Israel",https://www.linkedin.com/jobs/view/4280216809/,2025-08-11,"EMEA, Israel",AI Engineer
LinkedIn (Playwright),Data Scientist,Nexxen,"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4280169137/,2025-08-11,Tel Aviv-Yafo,Data Scientist
LinkedIn (Playwright),Machine Learning Engineer,DRW,"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4020355994/,2025-08-11,Tel Aviv-Yafo,Machine Learning Engineer
LinkedIn (Playwright),"Data Scientist, Professional Services Israel",Amazon Web Services (AWS),"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4226310730/,2025-08-11,Tel Aviv-Yafo,Data Scientist
LinkedIn (Playwright),Data Scientist,"Veracyte, Inc.",Israel,https://www.linkedin.com/jobs/view/4275262172/,2025-08-11,Haifa,Data Scientist
LinkedIn (Playwright),Data Scientist,Similarweb,"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4218607296/,2025-08-11,Tel Aviv-Yafo,Data Scientist
